iter	Passed	Remaining
767	28384	8574
768	28436	8542
769	28472	8504
770	28514	8469
771	28550	8432
772	28588	8395
773	28619	8356
774	28647	8316
775	28692	8282
776	28730	8245
777	28765	8208
778	28795	8169
779	28836	8133
780	28870	8095
781	28922	8062
782	28961	8026
783	28999	7989
784	29030	7950
785	29063	7912
786	29095	7874
787	29134	7838
788	29164	7799
789	29202	7762
790	29242	7726
791	29281	7690
792	29315	7652
793	29351	7615
794	29387	7577
795	29416	7538
796	29444	7499
797	29478	7461
798	29512	7424
799	29551	7387
800	29583	7349
801	29617	7312
802	29651	7274
803	29686	7237
804	29722	7199
805	29753	7161
806	29785	7123
807	29811	7083
808	29854	7048
809	29886	7010
810	29919	6972
811	29947	6933
812	29992	6898
813	30032	6862
814	30068	6825
815	30100	6787
816	30136	6750
817	30170	6712
818	30206	6675
819	30245	6639
820	30286	6603
821	30328	6567
822	30365	6530
823	30393	6491
824	30422	6453
825	30456	6415
826	30497	6379
827	30535	6343
828	30589	6309
829	30633	6274
830	30662	6235
831	30698	6198
832	30733	6161
833	30768	6124
834	30821	6090
835	30857	6053
836	30890	6015
837	30926	5978
838	30957	5940
839	30987	5902
840	31027	5865
841	31059	5828
842	31083	5789
843	31111	5750
844	31139	5711
845	31173	5674
846	31204	5636
847	31239	5599
848	31282	5563
849	31322	5527
850	31353	5489
851	31388	5452
852	31435	5417
853	31468	5379
854	31497	5341
855	31534	5304
856	31561	5266
857	31594	5228
858	31626	5191
859	31649	5152
860	31680	5114
861	31701	5075
862	31730	5037
863	31756	4998
864	31794	4962
865	31826	4924
866	31856	4886
867	31890	4849
868	31920	4812
869	31947	4773
870	31975	4735
871	32005	4698
872	32031	4659
873	32057	4621
874	32083	4583
875	32111	4545
876	32141	4507
877	32173	4470
878	32210	4433
879	32242	4396
880	32265	4358
881	32296	4320
882	32323	4282
883	32354	4245
884	32390	4208
885	32427	4172
886	32465	4135
887	32493	4098
888	32523	4060
889	32555	4023
890	32583	3986
891	32612	3948
892	32645	3911
893	32673	3874
894	32704	3836
895	32734	3799
896	32762	3761
897	32791	3724
898	32826	3687
899	32854	3650
900	32890	3613
901	32922	3576
902	32959	3540
903	32994	3503
904	33019	3466
905	33043	3428
906	33071	3391
907	33111	3354
908	33141	3317
909	33168	3280
910	33196	3243
911	33223	3205
912	33269	3170
913	33295	3132
914	33333	3096
915	33356	3058
916	33378	3021
917	33407	2984
918	33433	2946
919	33457	2909
920	33479	2871
921	33501	2834
922	33526	2796
923	33549	2759
924	33571	2721
925	33591	2684
926	33611	2646
927	33638	2609
928	33662	2572
929	33690	2535
930	33713	2498
931	33739	2461
932	33756	2424
933	33776	2386
934	33793	2349
935	33815	2312
936	33835	2274
937	33856	2237
938	33873	2200
939	33892	2163
940	33911	2126
941	33928	2089
942	33943	2051
943	33962	2014
944	33981	1977
945	33998	1940
946	34018	1903
947	34044	1867
948	34062	1830
949	34078	1793
950	34090	1756
951	34102	1719
952	34114	1682
953	34126	1645
954	34139	1608
955	34151	1571
956	34163	1535
957	34175	1498
958	34187	1461
959	34198	1424
960	34211	1388
961	34222	1351
962	34234	1315
963	34247	1278
964	34260	1242
965	34271	1206
966	34283	1169
967	34295	1133
968	34307	1097
969	34319	1061
970	34330	1025
971	34341	989
972	34352	953
973	34363	917
974	34373	881
975	34384	845
976	34394	809
977	34405	773
978	34415	738
979	34425	702
980	34436	666
981	34446	631
982	34455	595
983	34465	560
984	34474	524
985	34484	489
986	34493	454
987	34503	419
988	34512	383
989	34521	348
990	34531	313
991	34540	278
992	34550	243
993	34559	208
994	34569	173
995	34578	138
996	34586	104
997	34595	69
998	34604	34
999	34613	0
